   0.000000e+00    0.000000e+00            -nan    1.000000e-02            -nan    1.000000e+00    1.000000e+00    0.000000e+00            -nan
   2.700000e+01    2.000401e-01    1.852223e-03    1.000000e-02    1.852223e-01    1.000000e+00    1.000000e+00    0.000000e+00   -4.005781e-03
   2.800000e+01    2.007846e-01    1.792720e-03    1.000000e-02    1.792720e-01    1.000000e+00    1.000000e+00    0.000000e+00    5.316097e-03
   2.900000e+01    2.018078e-01    1.739723e-03    1.000000e-02    1.739723e-01    1.000000e+00    1.000000e+00    0.000000e+00    4.666798e-03
   3.000000e+01    2.014075e-01    1.678396e-03    1.000000e-02    1.678396e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.599679e-04
   3.100000e+01    1.997110e-01    1.610573e-03    1.000000e-02    1.610573e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.372877e-03
   3.200000e+01    1.999056e-01    1.561762e-03    1.000000e-02    1.561762e-01    1.000000e+00    1.000000e+00    0.000000e+00    1.934948e-03
   3.300000e+01    1.993164e-01    1.509973e-03    1.000000e-02    1.509973e-01    1.000000e+00    1.000000e+00    0.000000e+00   -2.556634e-03
   3.400000e+01    1.997735e-01    1.468923e-03    1.000000e-02    1.468923e-01    1.000000e+00    1.000000e+00    0.000000e+00   -2.098575e-03
   3.500000e+01    2.001213e-01    1.429438e-03    1.000000e-02    1.429438e-01    1.000000e+00    1.000000e+00    0.000000e+00    8.261989e-04
   3.600000e+01    2.004839e-01    1.392249e-03    1.000000e-02    1.392249e-01    1.000000e+00    1.000000e+00    0.000000e+00    3.900372e-03
   3.700000e+01    1.993198e-01    1.346755e-03    1.000000e-02    1.346755e-01    1.000000e+00    1.000000e+00    0.000000e+00    5.371112e-03
   3.800000e+01    1.995037e-01    1.312524e-03    1.000000e-02    1.312524e-01    1.000000e+00    1.000000e+00    0.000000e+00   -9.709382e-04
   3.900000e+01    1.999312e-01    1.281611e-03    1.000000e-02    1.281611e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.634823e-03
   4.000000e+01    2.003779e-01    1.252362e-03    1.000000e-02    1.252362e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.672344e-03
   4.100000e+01    2.008561e-01    1.224733e-03    1.000000e-02    1.224733e-01    1.000000e+00    1.000000e+00    0.000000e+00   -6.982093e-03
   4.200000e+01    2.003747e-01    1.192706e-03    1.000000e-02    1.192706e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.095436e-02
   4.300000e+01    1.983834e-01    1.153392e-03    1.000000e-02    1.153392e-01    1.000000e+00    1.000000e+00    0.000000e+00   -7.121733e-03
   4.400000e+01    1.971245e-01    1.120025e-03    1.000000e-02    1.120025e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.438187e-02
   4.500000e+01    1.966399e-01    1.092444e-03    1.000000e-02    1.092444e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.001355e-02
   4.600000e+01    1.975665e-01    1.073731e-03    1.000000e-02    1.073731e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.299812e-02
   4.700000e+01    1.983266e-01    1.054929e-03    1.000000e-02    1.054929e-01    1.000000e+00    1.000000e+00    0.000000e+00   -1.197961e-03
   4.800000e+01    1.984717e-01    1.033707e-03    1.000000e-02    1.033707e-01    1.000000e+00    1.000000e+00    0.000000e+00   -2.878145e-03
   4.900000e+01    1.982589e-01    1.011525e-03    1.000000e-02    1.011525e-01    1.000000e+00    1.000000e+00    0.000000e+00    2.461077e-03
   5.000000e+01    1.983690e-01    9.918452e-04    1.000000e-02    9.918452e-02    1.000000e+00    1.000000e+00    0.000000e+00    2.000683e-03
   5.100000e+01    1.987433e-01    9.742318e-04    1.000000e-02    9.742318e-02    1.000000e+00    1.000000e+00    0.000000e+00    5.926127e-03
   5.200000e+01    2.001434e-01    9.622277e-04    1.000000e-02    9.622277e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.509608e-03
   5.300000e+01    1.997143e-01    9.420486e-04    1.000000e-02    9.420486e-02    1.000000e+00    1.000000e+00    0.000000e+00   -5.846695e-03
   5.400000e+01    1.987421e-01    9.201024e-04    1.000000e-02    9.201024e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.205132e-03
   5.500000e+01    1.990201e-01    9.046367e-04    1.000000e-02    9.046367e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.817643e-03
   5.600000e+01    1.975027e-01    8.817085e-04    1.000000e-02    8.817085e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.098569e-02
   5.700000e+01    1.976851e-01    8.670398e-04    1.000000e-02    8.670398e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.508300e-02
   5.800000e+01    1.980955e-01    8.538598e-04    1.000000e-02    8.538598e-02    1.000000e+00    1.000000e+00    0.000000e+00   -4.931831e-03
   5.900000e+01    1.986525e-01    8.417478e-04    1.000000e-02    8.417478e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.027476e-02
   6.000000e+01    1.981256e-01    8.255233e-04    1.000000e-02    8.255233e-02    1.000000e+00    1.000000e+00    0.000000e+00   -6.518744e-03
   6.100000e+01    1.984950e-01    8.135040e-04    1.000000e-02    8.135040e-02    1.000000e+00    1.000000e+00    0.000000e+00   -6.852206e-03
   6.200000e+01    1.989169e-01    8.020841e-04    1.000000e-02    8.020841e-02    1.000000e+00    1.000000e+00    0.000000e+00   -2.338525e-03
   6.300000e+01    1.988162e-01    7.889530e-04    1.000000e-02    7.889530e-02    1.000000e+00    1.000000e+00    0.000000e+00   -1.847315e-03
   6.400000e+01    1.987921e-01    7.765318e-04    1.000000e-02    7.765318e-02    1.000000e+00    1.000000e+00    0.000000e+00   -9.675222e-04
   6.500000e+01    1.979612e-01    7.613892e-04    1.000000e-02    7.613892e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.355197e-03
   6.600000e+01    1.988157e-01    7.530896e-04    1.000000e-02    7.530896e-02    1.000000e+00    1.000000e+00    0.000000e+00    5.900047e-04
   6.700000e+01    1.973113e-01    7.362362e-04    1.000000e-02    7.362362e-02    1.000000e+00    1.000000e+00    0.000000e+00    6.972729e-03
   6.800000e+01    1.979440e-01    7.277353e-04    1.000000e-02    7.277353e-02    1.000000e+00    1.000000e+00    0.000000e+00    6.477254e-03
   6.900000e+01    1.984295e-01    7.189476e-04    1.000000e-02    7.189476e-02    1.000000e+00    1.000000e+00    0.000000e+00    1.040651e-02
   7.000000e+01    1.988422e-01    7.101508e-04    1.000000e-02    7.101508e-02    1.000000e+00    1.000000e+00    0.000000e+00    9.869151e-03
   7.100000e+01    1.992759e-01    7.016757e-04    1.000000e-02    7.016757e-02    1.000000e+00    1.000000e+00    0.000000e+00    4.446949e-03
